ID	Mean_Control	Mean_Patient	Mean_Change	LogFC	Pvalue	FDR
9929	6.7337	6.9816	0.248	0.248	0.13	0.35
9931	7.8245	7.8467	0.0222	0.0222	0.82	0.91
9933	6.611	6.7837	0.1728	0.1728	0.067	0.27
9934	6.3304	6.2941	-0.0363	-0.0363	0.6	0.77
9935	7.6302	7.5212	-0.109	-0.109	0.27	0.51
9936	6.9536	6.9494	-0.0042	-0.0042	0.96	0.98
9937	6.2748	6.4331	0.1583	0.1583	0.14	0.37
9938	6.4352	6.4753	0.0401	0.0401	0.3	0.53
9939	9.6743	9.292	-0.3823	-0.3823	0.074	0.28
9940	6.6741	6.5709	-0.1032	-0.1032	0.0086	0.19
9941	6.5199	6.6536	0.1337	0.1337	0.18	0.42
9942	7.0124	6.9273	-0.0852	-0.0852	0.023	0.2
9943	8.0351	8.2794	0.2443	0.2443	0.016	0.2
9945	6.65	6.7176	0.0677	0.0677	0.55	0.74
9946	6.7972	6.9627	0.1655	0.1655	0.093	0.3
9947	6.3704	6.3837	0.0134	0.0134	0.67	0.82
9948	8.5371	8.7093	0.1721	0.1721	0.14	0.37
9949	6.835	6.8434	0.0084	0.0084	0.81	0.9
9950	6.872	7.1107	0.2388	0.2388	0.056	0.25
9951	7.2122	7.1144	-0.0978	-0.0978	0.066	0.26
9953	6.6732	6.6366	-0.0366	-0.0366	0.41	0.63
9955	6.7458	6.8096	0.0639	0.0639	0.28	0.52
9956	7.714	7.4057	-0.3084	-0.3084	0.0071	0.18
9957	7.3314	7.2352	-0.0963	-0.0963	0.15	0.38
9958	7.9585	8.2189	0.2604	0.2604	0.12	0.34
9960	7.008	7.1823	0.1743	0.1743	0.089	0.3
9961	7.0421	7.0626	0.0205	0.0205	0.8	0.9
9962	6.4916	6.5565	0.0648	0.0648	0.2	0.44
9963	7.092	6.9753	-0.1167	-0.1167	0.018	0.2
9965	6.7948	6.7711	-0.0237	-0.0237	0.54	0.73
9966	6.3235	6.2978	-0.0257	-0.0257	0.41	0.63
9967	7.6832	7.8146	0.1314	0.1314	0.15	0.38
9968	7.4173	7.4286	0.0113	0.0113	0.85	0.93
9969	8.6333	8.6409	0.0075	0.0075	0.92	0.96
9970	6.6243	6.5351	-0.0892	-0.0892	0.056	0.25
9971	5.8319	5.8548	0.0229	0.0229	0.35	0.58
9972	7.7405	8.0595	0.319	0.319	0.011	0.19
9973	7.3252	7.2213	-0.1038	-0.1038	0.077	0.28
9975	8.9296	8.8365	-0.0931	-0.0931	0.56	0.75
9976	6.4598	6.5626	0.1028	0.1028	0.37	0.6
9978	8.6377	8.5743	-0.0634	-0.0634	0.55	0.74
9980	6.9637	7.0669	0.1032	0.1032	0.38	0.6
9982	6.7118	6.6126	-0.0993	-0.0993	0.12	0.34
9984	6.4812	6.6761	0.1949	0.1949	0.014	0.19
9985	6.9615	6.8952	-0.0664	-0.0664	0.066	0.26
9986	7.5537	7.4054	-0.1483	-0.1483	0.014	0.19
9987	8.5041	8.5818	0.0777	0.0777	0.39	0.61
9988	6.7977	6.946	0.1484	0.1484	0.045	0.24
9989	7.6577	7.7629	0.1052	0.1052	0.28	0.51
9990	7.1991	7.2429	0.0439	0.0439	0.73	0.85
9991	6.9946	7.2499	0.2553	0.2553	0.083	0.29
9992	6.0005	6.0305	0.03	0.03	0.32	0.55
9993	7.6344	7.5691	-0.0654	-0.0654	0.19	0.42
9994	6.7356	6.8874	0.1518	0.1518	0.056	0.25
9997	8.3254	7.9807	-0.3447	-0.3447	0.023	0.2
10000	6.7289	6.9602	0.2313	0.2313	0.064	0.26
10001	7.199	7.3212	0.1222	0.1222	0.3	0.54
10002	6.9523	6.8348	-0.1174	-0.1174	0.007	0.18
10003	6.0588	6.0596	8e-04	8e-04	0.98	0.99
10004	6.7512	6.7233	-0.0279	-0.0279	0.34	0.57
10005	7.3719	7.3862	0.0143	0.0143	0.82	0.91
10006	7.9623	8.0544	0.0922	0.0922	0.28	0.52
10007	6.927	7.0893	0.1623	0.1623	0.018	0.2
10008	6.5826	6.4798	-0.1028	-0.1028	0.0073	0.18
10009	6.7855	6.88	0.0944	0.0944	0.044	0.24
10010	6.4632	6.6948	0.2316	0.2316	0.014	0.19
10011	6.9999	7.1233	0.1234	0.1234	0.14	0.37
10013	7.3348	7.3486	0.0138	0.0138	0.75	0.87
10014	8.1789	8.0199	-0.159	-0.159	0.06	0.25
10015	7.8872	8.1985	0.3113	0.3113	0.014	0.19
10016	7.6443	7.6954	0.0511	0.0511	0.3	0.53
10017	6.575	6.5348	-0.0401	-0.0401	0.5	0.7
10018	6.4965	6.5327	0.0362	0.0362	0.41	0.63
10019	7.3662	7.3151	-0.0511	-0.0511	0.39	0.61
10020	7.0782	7.1265	0.0484	0.0484	0.46	0.67
10021	6.936	6.8975	-0.0385	-0.0385	0.37	0.6
10022	6.0092	5.979	-0.0302	-0.0302	0.6	0.77
10023	7.2576	7.1652	-0.0924	-0.0924	0.087	0.29
10024	7.1066	6.9561	-0.1505	-0.1505	0.0097	0.19
10025	7.3719	7.4148	0.0428	0.0428	0.33	0.56
10026	6.8225	7.1079	0.2855	0.2855	0.0082	0.19
10036	7.2957	7.222	-0.0737	-0.0737	0.16	0.39
10038	7.1657	7.2542	0.0885	0.0885	0.39	0.61
10039	6.8603	6.8131	-0.0472	-0.0472	0.29	0.53
10040	6.3599	6.4085	0.0485	0.0485	0.25	0.49
10042	7.5002	7.5608	0.0606	0.0606	0.2	0.44
10043	8.183	8.0582	-0.1248	-0.1248	0.31	0.54
10044	7.3655	7.2452	-0.1202	-0.1202	0.052	0.25
10045	6.9143	6.8536	-0.0608	-0.0608	0.062	0.26
10046	7.0995	7.0686	-0.0309	-0.0309	0.52	0.72
10047	6.2913	6.2729	-0.0184	-0.0184	0.52	0.72
10048	8.0898	8.4404	0.3506	0.3506	0.006	0.18
10049	8.6455	8.6172	-0.0283	-0.0283	0.79	0.89
10050	6.31	6.2123	-0.0976	-0.0976	0.012	0.19
10051	6.8099	7.0297	0.2198	0.2198	0.018	0.2
10052	6.9773	6.9563	-0.021	-0.021	0.7	0.84
10053	6.5965	6.5905	-0.006	-0.006	0.86	0.93
10054	8.5929	8.7043	0.1114	0.1114	0.14	0.36
10055	8.4302	8.3916	-0.0386	-0.0386	0.55	0.74
10056	7.8646	8.2655	0.4008	0.4008	0.003	0.18
10057	7.1222	7.2715	0.1493	0.1493	0.35	0.58
10058	7.2261	7.3896	0.1635	0.1635	0.098	0.31
10059	7.6717	7.8218	0.1501	0.1501	0.16	0.39
10060	8.6058	8.5228	-0.083	-0.083	0.57	0.75
10061	7.4046	7.6235	0.2189	0.2189	0.037	0.22
10062	6.9304	6.9239	-0.0065	-0.0065	0.85	0.93
10063	8.5014	8.5614	0.0601	0.0601	0.56	0.74
10066	7.8936	7.9072	0.0135	0.0135	0.85	0.93
10067	7.8618	7.941	0.0792	0.0792	0.1	0.32
10068	7.3168	7.1955	-0.1213	-0.1213	0.031	0.22
10069	7.7498	7.9476	0.1978	0.1978	0.18	0.42
10071	6.365	6.3461	-0.019	-0.019	0.56	0.75
10072	7.1316	7.1836	0.052	0.052	0.4	0.62
10073	7.0387	7.1331	0.0944	0.0944	0.3	0.53
10075	8.6733	8.6674	-0.0059	-0.0059	0.96	0.98
10076	7.2306	7.2486	0.018	0.018	0.78	0.88
10077	7.5211	7.3888	-0.1323	-0.1323	0.084	0.29
10078	6.9805	7.0074	0.0269	0.0269	0.56	0.75
10079	7.2857	7.3923	0.1065	0.1065	0.41	0.63
10081	7.187	7.2361	0.049	0.049	0.46	0.67
10082	6.4997	6.5641	0.0643	0.0643	0.2	0.43
10083	6.7091	6.6982	-0.0109	-0.0109	0.69	0.83
10084	7.8577	7.7305	-0.1272	-0.1272	0.02	0.2
10085	6.451	6.4807	0.0296	0.0296	0.59	0.77
10086	6.2598	6.211	-0.0489	-0.0489	0.11	0.33
10087	7.626	7.9222	0.2962	0.2962	0.0024	0.18
10089	7.3607	7.2313	-0.1294	-0.1294	0.16	0.39
10090	6.856	6.8506	-0.0054	-0.0054	0.93	0.97
10092	7.8597	7.9141	0.0544	0.0544	0.63	0.79
10093	7.2281	7.4202	0.192	0.192	0.036	0.22
10094	7.7266	8.1598	0.4332	0.4332	0.016	0.2
10095	7.2229	7.2088	-0.0141	-0.0141	0.81	0.9
10096	8.5661	8.9746	0.4085	0.4085	0.0075	0.18
10097	9.6091	9.6037	-0.0054	-0.0054	0.96	0.98
10098	6.9094	6.9465	0.0371	0.0371	0.64	0.8
10099	10.1908	9.9295	-0.2614	-0.2614	0.053	0.25
10100	7.3025	7.2727	-0.0299	-0.0299	0.6	0.78
10101	7.981	7.8297	-0.1513	-0.1513	0.021	0.2
10102	7.3702	7.4911	0.1209	0.1209	0.14	0.37
10103	6.6304	6.597	-0.0334	-0.0334	0.4	0.62
10105	8.2566	8.3378	0.0812	0.0812	0.57	0.75
10106	8.9809	8.7664	-0.2145	-0.2145	0.054	0.25
10109	9.4863	9.6121	0.1258	0.1258	0.35	0.58
10110	6.5432	6.497	-0.0462	-0.0462	0.12	0.34
10111	7.4286	7.7189	0.2903	0.2903	0.03	0.22
10112	6.2227	6.1966	-0.0261	-0.0261	0.38	0.6
10113	8.6801	8.7648	0.0847	0.0847	0.63	0.79
10114	9.7058	9.5183	-0.1875	-0.1875	0.24	0.47
10116	8.3595	8.4461	0.0866	0.0866	0.55	0.74
10117	6.6878	6.6481	-0.0397	-0.0397	0.39	0.61
10120	8.0527	8.0844	0.0317	0.0317	0.6	0.78
10121	8.4418	8.6428	0.201	0.201	0.26	0.49
10123	7.2596	7.2289	-0.0306	-0.0306	0.53	0.73
10124	6.9226	6.9018	-0.0208	-0.0208	0.64	0.8
10125	6.4188	6.4116	-0.0072	-0.0072	0.8	0.9
10126	6.4177	6.4534	0.0358	0.0358	0.46	0.67
10127	6.6691	6.663	-0.0061	-0.0061	0.9	0.95
10128	9.1055	9.3531	0.2476	0.2476	0.05	0.24
10129	7.4476	7.423	-0.0246	-0.0246	0.88	0.94
10130	8.722	9.009	0.287	0.287	0.042	0.23
10131	8.8326	8.8018	-0.0308	-0.0308	0.69	0.83
10133	9.5678	9.5558	-0.012	-0.012	0.94	0.97
10134	7.6194	7.6278	0.0084	0.0084	0.9	0.95
10135	7.3857	7.802	0.4163	0.4163	0.0015	0.18
10136	7.4012	7.2016	-0.1996	-0.1996	0.036	0.22
10137	7.8222	7.7939	-0.0283	-0.0283	0.61	0.78
10138	7.4232	7.504	0.0808	0.0808	0.41	0.63
10139	7.5531	7.4205	-0.1326	-0.1326	0.058	0.25
10140	9.3308	9.3203	-0.0105	-0.0105	0.95	0.98
10141	6.6042	6.5349	-0.0694	-0.0694	0.16	0.39
10142	7.6492	7.6913	0.0421	0.0421	0.72	0.85
10143	6.3304	6.3281	-0.0023	-0.0023	0.95	0.98
10144	6.9509	6.9793	0.0284	0.0284	0.73	0.86
10146	8.8179	9.0056	0.1877	0.1877	0.031	0.22
10147	7.64	7.6122	-0.0278	-0.0278	0.6	0.77
10148	6.8942	6.8304	-0.0638	-0.0638	0.27	0.51
10149	6.2171	6.2161	-0.001	-0.001	0.98	0.99
10150	9.0458	8.9071	-0.1387	-0.1387	0.2	0.43
10151	6.9909	6.9647	-0.0262	-0.0262	0.59	0.76
10152	7.2797	7.2761	-0.0036	-0.0036	0.95	0.97
10153	7.048	7.4406	0.3926	0.3926	0.0023	0.18
10154	6.5879	6.6026	0.0146	0.0146	0.8	0.89
10155	8.5043	8.4012	-0.1031	-0.1031	0.31	0.54
10156	7.3417	7.3087	-0.033	-0.033	0.74	0.86
10157	7.1024	7.1304	0.028	0.028	0.82	0.91
10158	7.1636	7.0283	-0.1353	-0.1353	0.016	0.2
10159	7.7193	7.8425	0.1231	0.1231	0.37	0.59
10160	7.1436	7.329	0.1854	0.1854	0.17	0.4
10161	6.68	6.6635	-0.0166	-0.0166	0.79	0.89
10162	7.8454	8.0894	0.244	0.244	0.1	0.32
10163	7.2203	7.2822	0.0619	0.0619	0.58	0.76
10164	6.3281	6.3063	-0.0218	-0.0218	0.61	0.78
10165	6.6743	6.7926	0.1183	0.1183	0.12	0.34
10166	6.9794	7.077	0.0976	0.0976	0.16	0.38
10168	6.9079	6.9662	0.0583	0.0583	0.22	0.46
10169	7.7772	7.7078	-0.0694	-0.0694	0.29	0.53
10170	6.0638	6.0405	-0.0233	-0.0233	0.44	0.66
10171	7.5483	7.6844	0.136	0.136	0.12	0.34
10172	6.896	6.8481	-0.0479	-0.0479	0.41	0.63
10174	7.6425	7.4922	-0.1503	-0.1503	0.014	0.19
10175	7.5964	7.7837	0.1874	0.1874	0.066	0.26
10178	6.2151	6.2484	0.0333	0.0333	0.35	0.58
10179	6.4372	6.7918	0.3546	0.3546	0.0095	0.19
10180	6.828	6.9871	0.1591	0.1591	0.011	0.19
10181	7.5247	7.5122	-0.0125	-0.0125	0.83	0.92
10184	7.0125	6.9932	-0.0193	-0.0193	0.66	0.81
10186	7.8286	7.5622	-0.2664	-0.2664	0.033	0.22
10188	7.6086	7.4729	-0.1356	-0.1356	0.059	0.25
10189	7.7915	7.746	-0.0456	-0.0456	0.41	0.63
10190	6.6587	6.9051	0.2464	0.2464	0.016	0.2
10193	7.3095	7.4809	0.1714	0.1714	0.051	0.25
10194	7.0651	7.0392	-0.0258	-0.0258	0.69	0.83
10195	7.8856	7.9776	0.092	0.092	0.25	0.48
10196	6.6242	6.8888	0.2646	0.2646	0.021	0.2
10197	7.7486	7.9709	0.2223	0.2223	0.051	0.24
10198	6.4152	6.6183	0.2031	0.2031	0.027	0.21
10199	7.2956	7.5166	0.2209	0.2209	0.032	0.22
10200	7.3148	7.3338	0.019	0.019	0.83	0.91
10201	6.6482	6.7491	0.1008	0.1008	0.2	0.44
10202	6.6039	6.5238	-0.0801	-0.0801	0.059	0.25
10203	6.9893	7.1376	0.1484	0.1484	0.44	0.65
10204	8.646	8.582	-0.0639	-0.0639	0.41	0.63
10205	6.2971	6.4994	0.2023	0.2023	0.16	0.38
10206	6.8866	6.9697	0.0831	0.0831	0.059	0.25
10207	7.2759	7.3342	0.0583	0.0583	0.75	0.87
10208	6.844	7.1414	0.2974	0.2974	0.019	0.2
10209	12.0688	11.7855	-0.2833	-0.2833	0.037	0.22
10210	6.5858	6.7492	0.1634	0.1634	0.033	0.22
10212	7.0238	7.1113	0.0876	0.0876	0.08	0.29
10213	7.8909	8.4012	0.5103	0.5103	0.006	0.18
10214	6.5236	6.4374	-0.0862	-0.0862	0.4	0.62
10215	6.6451	6.6288	-0.0163	-0.0163	0.58	0.76
10216	6.4278	6.1617	-0.266	-0.266	0.28	0.51
10217	7.5921	7.5795	-0.0126	-0.0126	0.9	0.95
10218	6.2751	6.3257	0.0506	0.0506	0.35	0.58
10219	6.3845	6.3993	0.0148	0.0148	0.79	0.89
10220	6.9739	6.9938	0.02	0.02	0.67	0.82
10221	7.9141	7.9257	0.0117	0.0117	0.94	0.97
10223	6.9117	6.8166	-0.0951	-0.0951	0.023	0.2
10224	6.2431	6.3025	0.0594	0.0594	0.15	0.38
10225	6.2834	6.251	-0.0324	-0.0324	0.25	0.49
10226	7.5094	7.5713	0.0619	0.0619	0.45	0.66
10227	7.6556	7.5188	-0.1369	-0.1369	0.046	0.24
10228	6.8133	6.9853	0.1721	0.1721	0.039	0.23
10229	7.7636	7.6621	-0.1016	-0.1016	0.38	0.6
10230	6.552	6.6087	0.0567	0.0567	0.27	0.51
10231	8.3031	8.1819	-0.1212	-0.1212	0.49	0.69
10232	7.0143	6.94	-0.0743	-0.0743	0.14	0.37
10233	6.6433	6.7006	0.0573	0.0573	0.13	0.35
10234	6.3736	6.3068	-0.0668	-0.0668	0.19	0.43
10235	7.3589	7.237	-0.1219	-0.1219	0.031	0.22
10236	8.044	8.1359	0.0919	0.0919	0.36	0.59
10237	8.172	8.3578	0.1858	0.1858	0.088	0.29
10238	7.7862	7.8384	0.0522	0.0522	0.49	0.69
10239	7.9042	8.0086	0.1044	0.1044	0.5	0.7
10240	6.795	6.9535	0.1585	0.1585	0.065	0.26
10241	8.3357	8.4673	0.1315	0.1315	0.25	0.49
10242	6.3544	6.3073	-0.0471	-0.0471	0.1	0.32
10243	7.327	7.4828	0.1557	0.1557	0.22	0.46
10244	6.5324	6.6022	0.0698	0.0698	0.069	0.27
10245	7.8474	7.7777	-0.0696	-0.0696	0.32	0.55
10246	6.4666	6.402	-0.0646	-0.0646	0.027	0.21
10247	7.4486	7.6407	0.192	0.192	0.21	0.44
10248	8.2552	8.1935	-0.0617	-0.0617	0.57	0.75
10249	5.9913	6.0024	0.011	0.011	0.77	0.88
10250	7.882	7.855	-0.027	-0.027	0.6	0.78
10252	7.5791	7.6211	0.042	0.042	0.66	0.81
10253	7.461	7.5575	0.0965	0.0965	0.33	0.57
10254	7.087	7.3988	0.3119	0.3119	0.0059	0.18
10256	7.4433	7.4	-0.0433	-0.0433	0.58	0.76
10257	6.7356	6.9935	0.2579	0.2579	0.053	0.25
10260	7.247	7.4149	0.1679	0.1679	0.17	0.4
10261	6.2281	6.2657	0.0376	0.0376	0.46	0.67
10262	7.6773	7.5363	-0.141	-0.141	0.047	0.24
10263	7.3554	7.3165	-0.0389	-0.0389	0.63	0.79
10265	7.6622	7.5271	-0.1352	-0.1352	0.1	0.32
10266	8.0317	7.8151	-0.2166	-0.2166	0.096	0.31
10267	8.1842	8.0214	-0.1628	-0.1628	0.1	0.31
10268	7.648	7.4364	-0.2116	-0.2116	0.018	0.2
10269	7.1562	7.6953	0.5391	0.5391	0.0014	0.18
10270	7.9491	7.8541	-0.095	-0.095	0.063	0.26
10272	7.326	7.2666	-0.0594	-0.0594	0.45	0.66
10273	8.1026	8.0649	-0.0378	-0.0378	0.58	0.76
10274	7.2809	7.5004	0.2195	0.2195	0.055	0.25
10276	7.5988	7.6532	0.0544	0.0544	0.61	0.78
10277	8.3371	8.4805	0.1434	0.1434	0.23	0.47
10278	7.0308	6.9265	-0.1043	-0.1043	0.031	0.22
10279	6.8146	6.7576	-0.0569	-0.0569	0.17	0.4
10280	6.9889	7.0177	0.0288	0.0288	0.56	0.75
10281	6.3192	6.2489	-0.0702	-0.0702	0.097	0.31
10282	6.5921	6.8468	0.2547	0.2547	0.002	0.18
10283	6.9529	7.2274	0.2746	0.2746	0.011	0.19
10284	8.807	8.8267	0.0197	0.0197	0.77	0.88
10285	7.7344	8.0012	0.2669	0.2669	0.035	0.22
10286	7.6163	7.849	0.2327	0.2327	0.011	0.19
10287	7.6072	7.4347	-0.1725	-0.1725	0.047	0.24
10288	7.1812	7.011	-0.1702	-0.1702	0.032	0.22
10289	7.9016	8.2072	0.3056	0.3056	0.0069	0.18
10290	8.5098	8.4709	-0.0389	-0.0389	0.82	0.91
10291	8.0212	8.0101	-0.0111	-0.0111	0.86	0.93
10293	6.8317	6.7828	-0.0489	-0.0489	0.16	0.39
10294	8.4444	8.5633	0.119	0.119	0.2	0.44
10295	8.0787	7.9445	-0.1342	-0.1342	0.23	0.47
10296	7.7247	7.7803	0.0557	0.0557	0.33	0.56
10297	7.4221	7.306	-0.1161	-0.1161	0.076	0.28
10298	7.5253	7.4027	-0.1226	-0.1226	0.022	0.2
10299	9.2125	9.4617	0.2492	0.2492	0.064	0.26
10300	7.2479	7.1694	-0.0785	-0.0785	0.02	0.2
10301	6.4699	6.8713	0.4014	0.4014	0.0064	0.18
10302	7.2613	7.2923	0.031	0.031	0.6	0.78
10307	6.9517	6.8737	-0.078	-0.078	0.036	0.22
10308	6.0551	6.2066	0.1514	0.1514	0.02	0.2
10309	7.4282	7.223	-0.2051	-0.2051	0.0098	0.19
10311	7.4798	7.8743	0.3945	0.3945	0.015	0.19
10312	7.4054	7.3015	-0.1039	-0.1039	0.077	0.28
10313	7.737	7.9364	0.1993	0.1993	0.19	0.43
10314	7.8232	7.9749	0.1516	0.1516	0.19	0.42
10316	7.3487	7.1879	-0.1608	-0.1608	0.0044	0.18
10317	6.3091	6.2722	-0.0368	-0.0368	0.37	0.6
10318	8.2862	8.3765	0.0903	0.0903	0.32	0.55
10319	7.201	7.0927	-0.1082	-0.1082	0.031	0.22
10320	6.5687	6.5432	-0.0255	-0.0255	0.44	0.66
10321	6.4042	6.3428	-0.0614	-0.0614	0.16	0.39
10322	6.9422	7.0399	0.0977	0.0977	0.051	0.24
10324	12.1938	12.0288	-0.1649	-0.1649	0.33	0.56
10325	6.732	6.8856	0.1536	0.1536	0.14	0.36
10326	6.3137	6.3181	0.0044	0.0044	0.93	0.97
10327	6.996	7.1314	0.1354	0.1354	0.18	0.41
10328	7.1598	7.2812	0.1213	0.1213	0.073	0.27
10329	7.1472	7.2375	0.0903	0.0903	0.22	0.45
10330	7.3278	7.3829	0.0551	0.0551	0.3	0.53
10331	6.8599	6.8033	-0.0567	-0.0567	0.14	0.36
10332	6.402	6.3613	-0.0407	-0.0407	0.21	0.44
10333	6.1749	6.1883	0.0135	0.0135	0.74	0.86
10335	6.7767	6.7331	-0.0436	-0.0436	0.31	0.54
10336	7.3991	7.3829	-0.0162	-0.0162	0.65	0.81
10342	7.7046	7.9503	0.2457	0.2457	0.0017	0.18
10343	6.2304	6.217	-0.0135	-0.0135	0.75	0.87
10344	6.5267	6.4352	-0.0915	-0.0915	0.13	0.35
10345	9.6485	9.6742	0.0257	0.0257	0.9	0.95
10346	6.5479	6.5915	0.0436	0.0436	0.5	0.7
10347	7.3012	7.1913	-0.1098	-0.1098	0.016	0.2
10349	6.4779	6.4308	-0.0471	-0.0471	0.49	0.69
10350	6.6317	6.7358	0.1041	0.1041	0.27	0.5
10351	7.3541	7.264	-0.0901	-0.0901	0.46	0.67
10352	6.7829	6.9064	0.1235	0.1235	0.032	0.22
10360	7.2829	7.2574	-0.0254	-0.0254	0.62	0.79
10361	7.1056	6.9982	-0.1074	-0.1074	0.028	0.21
10362	7.7812	7.6643	-0.1169	-0.1169	0.014	0.19
10363	6.83	6.909	0.079	0.079	0.37	0.6
10365	8.2301	8.0275	-0.2026	-0.2026	0.13	0.35
10367	7.8232	7.8643	0.0411	0.0411	0.69	0.83
10368	6.2452	6.2506	0.0055	0.0055	0.87	0.94
10369	6.1823	6.1482	-0.0341	-0.0341	0.37	0.59
10370	8.2902	8.0138	-0.2763	-0.2763	0.017	0.2
10371	6.2669	6.2706	0.0037	0.0037	0.96	0.98
10376	8.6851	8.5577	-0.1274	-0.1274	0.33	0.56
10379	6.7769	6.7164	-0.0605	-0.0605	0.24	0.47
10380	6.7146	6.8662	0.1516	0.1516	0.056	0.25
10381	7.9955	7.7651	-0.2304	-0.2304	0.019	0.2
10382	7.2657	7.232	-0.0337	-0.0337	0.49	0.7
10383	8.8113	8.9044	0.0931	0.0931	0.61	0.78
10384	6.7318	6.6383	-0.0935	-0.0935	0.092	0.3
10385	6.8844	6.8135	-0.0709	-0.0709	0.06	0.25
10388	5.7747	5.836	0.0613	0.0613	0.052	0.25
10389	6.2578	6.3409	0.0831	0.0831	0.013	0.19
10390	6.9292	7.1196	0.1905	0.1905	0.014	0.19
10391	6.7325	6.6981	-0.0344	-0.0344	0.26	0.49
10392	6.4585	6.4613	0.0029	0.0029	0.92	0.96
10393	6.288	6.473	0.185	0.185	0.029	0.22
10394	6.7386	6.6917	-0.0469	-0.0469	0.26	0.49
10395	7.0157	7.0319	0.0162	0.0162	0.88	0.94
10396	8.1084	8.2559	0.1476	0.1476	0.49	0.69
10397	7.8962	7.7783	-0.1178	-0.1178	0.42	0.64
10398	8.1146	7.9183	-0.1963	-0.1963	0.12	0.34
10399	11.0664	11.0132	-0.0532	-0.0532	0.62	0.78
10400	7.057	7.1342	0.0771	0.0771	0.15	0.38
10401	7.1771	7.2611	0.084	0.084	0.3	0.54
10402	6.6405	6.8699	0.2293	0.2293	0.059	0.25
10403	5.7788	5.8243	0.0455	0.0455	0.096	0.31
10404	6.8467	6.8817	0.035	0.035	0.39	0.61
10406	6.9692	6.8429	-0.1264	-0.1264	0.036	0.22
10407	6.0239	6.0495	0.0256	0.0256	0.71	0.84
10408	6.7736	6.6561	-0.1174	-0.1174	0.018	0.2
10409	7.5699	7.4878	-0.0821	-0.0821	0.26	0.5
10410	7.975	7.935	-0.04	-0.04	0.83	0.92
10411	6.8631	6.8313	-0.0318	-0.0318	0.42	0.64
10412	7.7067	8.1304	0.4237	0.4237	0.0057	0.18
10413	8.1581	8.0459	-0.1121	-0.1121	0.2	0.43
10417	7.0557	6.9402	-0.1155	-0.1155	0.011	0.19
10418	6.4531	6.4978	0.0447	0.0447	0.65	0.8
10419	8.0354	8.2193	0.1839	0.1839	0.14	0.36
10420	6.8773	6.8931	0.0158	0.0158	0.82	0.91
10421	7.4161	7.427	0.0108	0.0108	0.84	0.92
10422	8.7464	8.6644	-0.082	-0.082	0.37	0.59
10423	8.2415	8.1465	-0.095	-0.095	0.27	0.5
10424	7.4966	7.6852	0.1886	0.1886	0.0079	0.19
10425	8.1667	8.4119	0.2452	0.2452	0.044	0.24
10426	6.8787	6.9524	0.0736	0.0736	0.26	0.5
10427	7.9619	8.1899	0.228	0.228	0.035	0.22
10428	7.0542	7.1646	0.1104	0.1104	0.11	0.32
10430	7.9427	8.1169	0.1742	0.1742	0.1	0.32
10432	7.2274	7.2493	0.0218	0.0218	0.75	0.87
10434	8.0142	8.3458	0.3316	0.3316	0.016	0.2
10435	7.2579	7.1968	-0.061	-0.061	0.29	0.53
10436	6.8594	7.0596	0.2002	0.2002	0.034	0.22
10437	6.7363	6.9036	0.1673	0.1673	0.3	0.53
10438	6.7823	6.8793	0.097	0.097	0.25	0.48
10439	6.6781	6.7445	0.0664	0.0664	0.39	0.61
10440	7.6983	8.2276	0.5293	0.5293	0.0097	0.19
10443	8.9145	8.7474	-0.167	-0.167	0.061	0.26
10444	7.6335	7.792	0.1585	0.1585	0.12	0.34
10445	7.3547	7.3672	0.0125	0.0125	0.85	0.93
10446	6.7587	6.6865	-0.0722	-0.0722	0.075	0.28
10447	5.8281	5.8579	0.0298	0.0298	0.51	0.71
10449	8.8281	8.7104	-0.1177	-0.1177	0.49	0.69
10450	7.2976	7.3666	0.0691	0.0691	0.18	0.41
10451	6.0629	6.1102	0.0473	0.0473	0.25	0.49
10452	8.3819	8.2522	-0.1297	-0.1297	0.13	0.35
10454	7.2908	7.2701	-0.0207	-0.0207	0.6	0.77
10455	8.0731	8.2702	0.1972	0.1972	0.12	0.33
10456	8.0658	8.3638	0.298	0.298	0.024	0.2
10457	7.3844	7.539	0.1546	0.1546	0.45	0.67
10458	6.874	6.8463	-0.0276	-0.0276	0.6	0.78
10459	7.6334	7.715	0.0816	0.0816	0.14	0.36
10460	6.7023	6.6757	-0.0266	-0.0266	0.49	0.69
10461	6.593	6.7262	0.1332	0.1332	0.14	0.36
10462	6.5264	6.465	-0.0613	-0.0613	0.055	0.25
10463	7.7817	8.0536	0.2719	0.2719	0.041	0.23
10464	6.4461	6.618	0.1719	0.1719	0.045	0.24
10465	7.0115	7.1422	0.1307	0.1307	0.1	0.32
10466	7.7523	7.9561	0.2038	0.2038	0.062	0.26
10467	8.1555	8.1834	0.028	0.028	0.65	0.8
10468	7.0535	6.9886	-0.0649	-0.0649	0.68	0.82
10469	8.0774	8.0789	0.0015	0.0015	0.98	0.99
10472	7.4459	7.5998	0.1538	0.1538	0.11	0.33
10473	7.3132	7.365	0.0518	0.0518	0.27	0.5
10474	7.7294	7.7001	-0.0293	-0.0293	0.63	0.79
10475	6.5921	6.8613	0.2692	0.2692	0.17	0.4
10476	9.6977	9.5895	-0.1082	-0.1082	0.34	0.57
10477	9.4864	9.169	-0.3174	-0.3174	0.067	0.27
10478	6.5203	6.6059	0.0856	0.0856	0.07	0.27
